freq,Awake_DP,Awake_NFd,Sed_DP_11.36,Sed_NF_11.36,Sed_DP_12.15,Sed_NF_12.15,Sed_DP_12.53,Sed_NF_12.53,Sed_DP_13.13,Sed_NF_13.13,Awake_SF,Awake_NFs,Sed_SF_11.43,Sed_NF_11.43,Sed_SF_12.23,Sed_NF_12.23,Sed_SF_13.02,Sed_NF_13.02,Sed_SF_13.39,Sed_NF_13.39,Awake_phase,Sed_phase_11.43,Sed_phase_12.23,Sed_phase_13.02,Sed_phase_13.39
1.120687126,22.31264573,-17.02964579,31.44742839,-11.87441694,32.12692992,-14.40702416,29.35192372,-13.00963029,32.05687057,-14.65130944,13.9632306,-27.99478216,11.33231484,-16.92711775,10.95486934,-33.98896447,11.26271346,-27.21342228,11.51487961,-26.41161503,-0.477549044,-0.5030084,-0.481632868,-0.483067748,-0.464599763
1.128313753,22.39450203,-16.26051235,31.46949071,-12.17404199,32.14954703,-13.93239192,29.3681259,-12.81497028,32.07907003,-15.60019338,13.84282121,-32.06186442,10.89541079,-15.89132328,10.57917597,-27.4486493,10.93650639,-30.22640178,11.08188606,-26.12464546,-0.483041343,-0.512680847,-0.48795562,-0.490118856,-0.471609893
1.135992282,22.47273751,-15.40165913,31.49253255,-12.71279556,32.17508017,-13.44914725,29.38937381,-12.88933402,32.10438369,-16.63511768,13.84000628,-28.45137569,10.50582177,-15.18585239,10.24722218,-25.21300178,10.61290951,-32.06831733,10.67964305,-25.3977326,-0.488237742,-0.521376431,-0.493645263,-0.497184841,-0.477340567
1.143723066,22.54983902,-14.58582358,31.51686496,-13.27046172,32.20354835,-12.75482186,29.41556346,-13.0236958,32.13337727,-17.25101574,13.82304244,-35.2283077,10.17747295,-15.9258483,10.00624321,-27.42405988,10.2464678,-28.7163708,10.32886893,-24.51176414,-0.491792403,-0.525188787,-0.496348338,-0.503413617,-0.477789132
1.15150646,22.62934547,-13.92578479,31.54293333,-13.60144327,32.23478271,-11.85997858,29.44682111,-13.12208499,32.16623643,-17.01466543,12.78130665,-43.75082493,9.896248939,-16.62234483,9.815737187,-27.0598921,9.933383152,-26.28891881,10.01776937,-22.867521,-0.495707974,-0.529313003,-0.499213155,-0.510206625,-0.478277314
1.159342823,22.67838398,-13.57830788,31.58518891,-13.56321049,32.28251878,-10.90912641,29.49752218,-13.22784682,32.21689662,-16.07748843,11.88813714,-31.72149572,9.822707066,-17.22163997,9.83601314,-24.54233057,9.836622655,-24.38202923,9.905215318,-21.08397367,-0.500036707,-0.533782589,-0.502252575,-0.517615609,-0.478810579
1.167232514,22.68906352,-13.68667281,31.65885003,-13.20936185,32.36139478,-10.05047162,29.58301453,-13.46679159,32.30005202,-14.91152119,11.27149039,-26.55610333,9.967921011,-17.65596335,10.07773864,-21.88735169,9.970242519,-22.80953367,10.00019644,-19.41918637,-0.504839982,-0.538634695,-0.50548055,-0.525691334,-0.479395447
1.175175898,22.71618082,-14.32985384,31.74903683,-12.6798154,32.45628012,-9.384806978,29.68862888,-13.96005873,32.40048286,-13.80231429,10.7690135,-33.91965298,9.527559111,-18.54251053,9.89589126,-23.98507079,9.505799101,-26.92557057,9.907684521,-22.03450083,-0.50729777,-0.542822909,-0.50850781,-0.527911699,-0.479943407
1.183173338,22.76160726,-15.64207131,31.85554322,-12.0209845,32.56696551,-8.929677587,29.81404409,-14.68397567,32.51768725,-12.79067647,10.2881511,-35.91882479,9.019213545,-19.54068103,9.661166238,-26.63375084,8.965657086,-31.05619987,9.76432107,-25.46888783,-0.509953496,-0.547398463,-0.511623532,-0.530266553,-0.480495481
1.191225204,22.82587808,-17.83531766,31.97809581,-11.26462893,32.69341473,-8.66941899,29.95862208,-15.46411947,32.651189,-11.85215274,9.832417253,-27.30528996,8.545732868,-20.6683942,9.474281827,-29.55415543,8.450996192,-27.89730079,9.667248543,-28.70651825,-0.512878371,-0.552427772,-0.514834247,-0.532876721,-0.481052641
1.199331865,22.93853015,-21.3643744,31.9817593,-10.64312798,32.70107308,-8.7199409,29.9869191,-16.13000767,32.66588218,-11.12977948,9.512669692,-22.79583243,8.107437494,-21.95947179,9.335215198,-30.84920924,7.959743013,-23.38317272,9.616184513,-27.38897687,-0.516113105,-0.55797002,-0.518141554,-0.535784372,-0.481614931
1.207493695,23.07710839,-27.92568688,31.95921497,-10.1968757,32.68301937,-8.972808226,29.99130385,-16.31856695,32.65436134,-10.57517684,9.246863726,-23.98168087,7.863649597,-20.2481756,9.297852238,-29.78273366,7.718923372,-29.50777483,9.641993774,-34.26249547,-0.518195015,-0.557216043,-0.521352836,-0.535243332,-0.485021191
1.215711068,23.22785879,-39.02177015,31.95705764,-10.00518547,32.68608486,-9.368604766,30.01793325,-15.9844702,32.66300802,-10.21106956,9.015345693,-26.12614189,7.662953521,-18.29653723,9.289726412,-27.9254391,7.533792421,-33.86080144,9.693851185,-32.44723211,-0.52007654,-0.555041419,-0.524543926,-0.533919654,-0.488960854
1.223984363,23.38789659,-26.47196053,31.97437265,-10.15644426,32.70935062,-9.896451198,30.06542099,-15.35705047,32.69057754,-10.10540555,8.510926001,-27.40172552,7.425453319,-16.66231254,9.251569604,-25.96776428,7.311494244,-23.47908209,9.717185751,-24.83808614,-0.522039854,-0.55276,-0.527744022,-0.532535884,-0.492856755
1.232313961,23.54548907,-21.88853819,31.98923819,-10.69042993,32.73057849,-10.54623393,30.11121634,-14.62425162,32.71465889,-10.32207561,7.97072917,-26.66710364,7.1920829,-15.26337175,9.224322203,-24.1869395,7.092841173,-18.71277681,9.75273137,-20.67230607,-0.524089721,-0.550364788,-0.530950491,-0.531088094,-0.496704947
1.240700244,23.67258025,-19.59498339,31.93088222,-11.58065814,32.6785113,-11.31254759,30.08416855,-13.87666184,32.66398426,-10.93794755,7.2424291,-24.75725592,7.282890185,-16.12788419,9.242286065,-24.73909677,7.240427582,-19.551571,9.874832317,-20.81935383,-0.52664791,-0.55116924,-0.535908297,-0.531092411,-0.500748712
1.249143598,23.79942324,-18.42933639,31.8749043,-12.48961639,32.62813968,-12.00572855,30.05947002,-13.06161535,32.61367448,-11.84684843,6.793819129,-23.00290969,7.537495296,-17.25823338,9.361211063,-24.9954179,7.559362771,-21.02658958,10.10264421,-20.85092366,-0.529387608,-0.552770453,-0.541291803,-0.531467467,-0.50473544
